handle	kind	old_id	new_id	old_path	new_path	title
jirin	TODO	TODO-001	TODO-jirin	TODO/001-decomk-devcontainer-tool-bootstrap.md	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md	decomk: isconf-like devcontainer tool bootstrap
fitus	TODO	TODO-002	TODO-fitus	TODO/002-decomk-architecture.md	TODO/TODO-fitus-decomk-architecture.md	decomk: software architecture
gazot	TODO	TODO-003	TODO-gazot	TODO/003-decomk-state-engine.md	TODO/TODO-gazot-decomk-state-engine.md	decomk: state engine (make vs alternatives) + lunamake review
takoh	TODO	TODO-004	TODO-takoh	TODO/004-isconf-flow-alignment.md	TODO/TODO-takoh-isconf-flow-alignment.md	decomk: align flow with isconf (identity → vars → PACKAGES → make)
mirut	TODO	TODO-005	TODO-mirut	TODO/005-decomk-log-dir-and-terminology.md	TODO/TODO-mirut-decomk-log-dir-and-terminology.md	decomk: log dir override + naming cleanup
bitum	TODO	TODO-006	TODO-bitum	TODO/006-decomk-user-customization-via-github-user.md	TODO/TODO-bitum-decomk-user-customization-via-github-user.md	decomk: user customization via GITHUB_USER
fuviv	TODO	TODO-007	TODO-fuviv	TODO/007-devpod-gcp-selfhost-migration.md	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md	decomk: migrate from Codespaces to DevPod on self-hosted GCP
gamuz	TODO	TODO-008	TODO-gamuz	TODO/008-no-silent-failures.md	TODO/TODO-gamuz-no-silent-failures.md	decomk: no silent failures + explicit error handling
dahuk	TODO	TODO-009	TODO-dahuk	TODO/009-phase-eval-lifecycle-spike.md	TODO/TODO-dahuk-phase-eval-lifecycle-spike.md	phase-eval: empirical lifecycle spike for devcontainer/DevPod/Codespaces
topan	TODO	TODO-010	TODO-topan	TODO/010-codespaces-block-prebuild-profiles.md	TODO/TODO-topan-codespaces-block-prebuild-profiles.md	codespaces: block-specific devcontainer prebuild profiles
luvov	TODO	TODO-011	TODO-luvov	TODO/011-single-path-checkpoints.md	TODO/TODO-luvov-single-path-checkpoints.md	single-path checkpoints
dobup	TODO	TODO-012	TODO-dobup	TODO/012-mob-sandbox-pilot.md	TODO/TODO-dobup-mob-sandbox-pilot.md	mob-sandbox pilot for decomk stage-0
rufiz	TODO	TODO-013	TODO-rufiz	TODO/013-conf-repo-init-scaffolding.md	TODO/TODO-rufiz-conf-repo-init-scaffolding.md	conf repo init scaffolding (`decomk init -conf`)
hunit	TODO	TODO-014	TODO-hunit	TODO/014-apt-package-retention-strategy.md	TODO/TODO-hunit-apt-package-retention-strategy.md	apt package retention strategy
hukuv	TODO	TODO-015	TODO-hukuv	TODO/015-mob-sandbox-prebuild-var-perms-via-checkpoint-image.md	TODO/TODO-hukuv-mob-sandbox-prebuild-var-perms-via-checkpoint-image.md	mob-sandbox prebuild `/var/*` permissions via checkpoint image
danih	TODO	TODO-016	TODO-danih	TODO/016-consumer-init-minimal-template-and-image-source.md	TODO/TODO-danih-consumer-init-minimal-template-and-image-source.md	Consumer `decomk init` minimal template + image-source prompt rework
punab	TODO	TODO-017	TODO-punab	TODO/017-channel-branch-rendering-and-promotion.md	TODO/TODO-punab-channel-branch-rendering-and-promotion.md	channel branch rendering and promotion
dajos	TODO	TODO-018	TODO-dajos	TODO/018-rendered-devcontainer-comment-preservation.md	TODO/TODO-dajos-rendered-devcontainer-comment-preservation.md	rendered devcontainer comment preservation
vimoj	TODO	TODO-019	TODO-vimoj	TODO/019-image-owned-go-toolchain.md	TODO/TODO-vimoj-image-owned-go-toolchain.md	decomk-side Go toolchain boundary
baras	TE	TE-20260428-020715	TE-baras	docs/thought-experiments/TE-20260428-020715-consumer-init-image-source.md	docs/thought-experiments/TE-baras-consumer-init-image-source.md	Thought Experiment: Consumer init image-source UX
jajov	TE	TE-20260428-023011	TE-jajov	docs/thought-experiments/TE-20260428-023011-template-architecture.md	docs/thought-experiments/TE-jajov-template-architecture.md	Thought Experiment: Init template architecture split
jidus	TE	TE-20260507-133819	TE-jidus	docs/thought-experiments/TE-20260507-133819-branch-channel-renderer.md	docs/thought-experiments/TE-jidus-branch-channel-renderer.md	Thought Experiment: Branch Channel Renderer
